Date,Units,NAV,Amount
04-09-2023,470.877,21.24,10000.00
04-09-2023,47.088,21.24,1000.00
04-10-2023,456.579,21.90,10000.00
04-10-2023,45.658,21.90,1000.00
07-11-2023,44.801,22.32,1000.00
07-11-2023,448.014,22.32,10000.00
04-12-2023,405.995,24.63,10000.00
04-12-2023,40.6,24.63,1000.00
04-01-2024,36.879,27.11,1000.00
04-01-2024,368.789,27.11,10000.00
29-01-2024,53.046,28.28,1500.00
06-02-2024,374.545,29.37,11000.00
13-03-2024,385.028,28.57,11000.00
07-05-2024,327.343,30.55,10000.00
07-05-2024,32.734,30.55,1000.00
04-06-2024,33.057,30.25,1000.00
04-06-2024,330.571,30.25,10000.00
04-07-2024,302.355,33.07,10000.00
04-07-2024,30.235,33.07,1000.00
05-08-2024,29.458,33.94,1000.00
05-08-2024,294.58,33.94,10000.00
04-09-2024,29.049,34.42,1000.00
04-09-2024,290.486,34.42,10000.00
04-10-2024,29.201,34.24,1000.00
04-10-2024,292.007,34.24,10000.00
04-11-2024,30.34,32.96,1000.00
04-11-2024,303.4,32.96,10000.00
04-12-2024,59.781,33.45,2000.00
04-12-2024,298.904,33.45,10000.00
06-01-2025,386.366,31.06,12000.00
30-01-2025,401.125,29.91,12000.00
03-03-2025,430.02,27.90,12000.00
02-04-2025,394.037,30.45,12000.00
02-05-2025,387.171,30.99,12000.00
02-06-2025,373.729,32.11,12000.00
21-07-2025,375.084,31.99,12000.00
01-08-2025,320.802,31.17,10000.00




